date,activity_type,date,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_speed,max_speed,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_bike_cadence,max_bike_cadence,normalized_powerâ_npâ,lr_balance,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,total_reps,total_sets,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race,avg_pace,best_pace
2021-01-15 17:16:03,Running,2021-01-15 17:16:03,False,Wheat Ridge Running,6.23,766,00:51:06,155,170,3.8,168,235,8:12,6:11,305,246,1.15,8.6,10.2,261,48.7% L / 51.3% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,51:06,0:00,44.6,0:00,No,01:39.18,7,0.0,9,garmin,0,0 days 00:08:12,0 days 00:08:12
2021-01-14 17:37:24,Treadmill Running,2021-01-14 17:37:24,False,Treadmill Running,3.13,385,00:25:23,148,160,3.1,171,175,8:07,7:42,23,33,1.15,8.2,9.7,261,48.6% L / 51.4% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,25:23,0:00,68.0,0:00,No,25:23.23,1,0.0,9,garmin,0,0 days 00:08:07,0 days 00:08:07
2021-01-14 16:16:41,Indoor Cycling,2021-01-14 16:16:41,False,Tinker  2 - TrainerRoad,27.47,984,01:15:00,147,180,0.0,0,0,22.0,23.0,0,0,0.0,0.0,0.0,0,0,92,97,242,0,87.0,257,219,371,0.0,0.0,0,0,0,0,0,1:15:00,0:00,0.0,0:00,No,03:00.00,12,0.0,9,garmin,0,00:00:00,00:00:00
2021-01-13 16:49:17,Indoor Cycling,2021-01-13 16:49:17,False,Black - TrainerRoad,21.52,729,01:00:00,133,156,0.0,0,0,21.5,23.0,0,0,0.0,0.0,0.0,0,0,90,96,206,0,50.0,213,203,275,0.0,0.0,0,0,0,0,0,1:00:00,0:00,0.0,0:00,No,01:00.00,26,0.0,9,garmin,0,00:00:00,00:00:00
2021-01-12 16:08:51,Running,2021-01-12 16:08:51,False,Denver Running,5.02,613,00:42:47,149,161,3.2,163,189,8:31,6:59,253,135,1.14,9.5,10.9,271,49.3% L / 50.7% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,42:47,0:00,51.8,0:00,No,00:10.57,6,0.0,9,garmin,0,0 days 00:08:31,0 days 00:08:31
2021-01-11 17:10:50,Pool Swimming,2021-01-11 17:10:50,False,Pool Swimming,0,0,00:09:48.6,0,0,1.0,0,0,1:00:00,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,9:48.6,0:00,0.0,0:00,No,00:01.89,17,0.0,9,garmin,0,0 days 00:01:00,0 days 00:01:00
2021-01-11 15:53:13,Indoor Cycling,2021-01-11 15:53:13,False,Pettit - TrainerRoad,26.73,816,01:15:00,116,131,0.0,0,0,21.4,22.4,0,0,0.0,0.0,0.0,0,0,89,94,184,0,50.0,198,182,225,0.0,0.0,0,0,0,0,0,1:15:00,0:00,0.0,0:00,No,01:00.00,10,0.0,9,garmin,0,00:00:00,00:00:00
2021-01-10 09:42:03,Other,2021-01-10 09:42:03,False,Boulder County Ski-Tour,6.82,"1,027",03:25:15,100,140,1.5,0,0,2.0,6.1,866,889,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,3:25:15,0:00,68.0,0:00,No,00:43.79,11,0.0,9,garmin,0,00:00:00,00:00:00
2021-01-09 14:48:23,Indoor Cycling,2021-01-09 14:48:23,False,Boarstone - TrainerRoad,34.66,"1,229",01:40:30,127,146,0.0,0,0,20.7,23.6,0,0,0.0,0.0,0.0,0,0,92,104,206,0,85.0,224,204,272,0.0,0.0,0,0,0,0,0,1:40:30,0:00,0.0,0:00,No,01:00.00,15,0.0,9,garmin,0,00:00:00,00:00:00
2021-01-07 16:46:53,Indoor Cycling,2021-01-07 16:46:53,False,Antelope - TrainerRoad,32.33,"1,111",01:30:00,148,177,0.0,0,0,21.5,24.9,0,0,0.0,0.0,0.0,0,0,93,102,233,0,97.0,232,206,407,0.0,0.0,0,0,0,0,0,1:30:00,0:00,0.0,0:00,No,02:00.00,15,0.0,9,garmin,0,00:00:00,00:00:00
2021-01-06 17:54:26,Treadmill Running,2021-01-06 17:54:26,False,Treadmill Running,2.01,247,00:16:35,142,153,2.4,170,173,8:15,8:06,0,0,1.15,8.3,9.8,266,48.7% L / 51.3% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,16:35,0:00,3.2,0:00,No,16:34.72,1,0.0,9,garmin,0,0 days 00:08:15,0 days 00:08:15
2021-01-06 16:18:44,Indoor Cycling,2021-01-06 16:18:44,False,Baxter - TrainerRoad,31.81,"1,030",01:30:00,131,154,0.0,0,0,21.2,22.4,0,0,0.0,0.0,0.0,0,0,92,96,196,0,68.0,209,191,286,0.0,0.0,0,0,0,0,0,1:30:00,0:00,0.0,0:00,No,01:00.00,38,0.0,9,garmin,0,00:00:00,00:00:00
2021-01-05 16:08:58,Running,2021-01-05 16:08:58,False,Wheat Ridge - 7/21/20 - Run Ladder Workout,6.21,753,00:47:47,159,180,4.0,168,218,7:41,5:25,325,259,1.23,8.1,10.1,256,49.4% L / 50.6% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,47:47,0:00,48.2,0:00,No,00:00.91,31,0.0,9,garmin,0,0 days 00:07:41,0 days 00:07:41
2021-01-04 16:44:32,Indoor Cycling,2021-01-04 16:44:32,False,Pettit - TrainerRoad,20.91,645,01:00:00,124,142,0.0,0,0,20.9,21.7,0,0,0.0,0.0,0.0,0,0,91,96,183,0,39.0,198,180,230,0.0,0.0,0,0,0,0,0,1:00:00,0:00,0.0,0:00,No,01:00.00,10,0.0,9,garmin,0,00:00:00,00:00:00
2021-01-03 14:13:54,Running,2021-01-03 14:13:54,False,Wheat Ridge Running,11.10,"1,296",01:32:10,152,165,3.4,167,185,8:18,5:46,"1,020",466,1.14,8.6,10.0,263,48.7% L / 51.3% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:32:10,0:00,51.8,0:00,No,00:47.44,12,0.0,9,garmin,0,0 days 00:08:18,0 days 00:08:18
2021-01-01 09:51:49,Running,2021-01-01 09:51:49,False,Frisco Running,7.17,429,01:00:19,126,159,2.0,168,180,8:25,5:48,341,341,1.05,9.2,9.8,272,49.7% L / 50.3% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:00:19,0:00,46.4,0:00,No,01:10.28,8,0.0,9,garmin,0,0 days 00:08:25,0 days 00:08:25
2020-12-31 09:11:17,Indoor Cycling,2020-12-31 09:11:17,False,Abbey - TrainerRoad,18.88,821,01:00:00,134,159,0.0,0,0,18.9,23.0,0,0,0.0,0.0,0.0,0,0,92,113,245,0,71.0,251,230,410,0.0,0.0,0,0,0,0,0,1:00:00,0:00,0.0,0:00,No,01:00.00,31,0.0,9,garmin,0,00:00:00,00:00:00
2020-12-30 12:13:07,Running,2020-12-30 12:13:07,False,The Colony Running,7.86,853,00:56:35,156,173,3.7,171,185,7:12,5:53,282,200,1.29,7.8,10.2,249,49.0% L / 51.0% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,56:35,0:00,48.2,0:00,No,06:08.57,8,0.0,9,garmin,0,0 days 00:07:12,0 days 00:07:12
2020-12-29 15:18:57,Running,2020-12-29 15:18:57,False,Waxahachie Running,4.27,477,00:33:24,146,158,3.0,164,183,7:49,6:34,105,72,1.17,9.4,11.0,261,48.0% L / 52.0% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,33:24,0:00,71.6,0:00,No,02:11.84,5,0.0,9,garmin,0,0 days 00:07:49,0 days 00:07:49
2020-12-29 13:16:02,Mountain Biking,2020-12-29 13:16:02,False,Waxahachie Mountain Biking,22.22,"1,151",01:32:01,150,179,0.0,0,0,14.5,25.6,285,262,0.0,0.0,0.0,0,0,72,114,228,0,93.9,250,209,943,0.0,0.0,6634,0,0,0,0,1:32:01,0:00,62.6,0:00,No,03:38.72,4,0.0,9,garmin,0,00:00:00,00:00:00
2020-12-28 10:18:28,Mountain Biking,2020-12-28 10:18:28,False,Waxahachie Mountain Biking,13.89,538,01:25:09,98,171,0.0,0,0,9.8,23.3,151,174,0.0,0.0,0.0,0,0,52,116,145,0,35.4,132,106,"1,047",0.0,0.0,4471,0,0,0,0,1:25:09,0:00,50.0,0:00,No,07:16.10,3,0.0,9,garmin,0,00:00:00,00:00:00
2020-12-27 16:10:36,Running,2020-12-27 16:10:36,False,Waxahachie Running,6.63,699,00:51:35,144,158,3.0,166,191,7:47,6:03,148,121,1.21,8.8,10.8,259,48.8% L / 51.2% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,51:35,0:00,73.4,0:00,No,04:54.18,7,0.0,9,garmin,0,0 days 00:07:47,0 days 00:07:47
2020-12-26 09:48:09,Gravel/Unpaved Cycling,2020-12-26 09:48:09,False,Waxahachie Gravel/Unpaved Cycling,50.18,"2,440",03:02:51,141,172,0.0,0,0,16.5,34.1,"1,355","1,280",0.0,0.0,0.0,0,0,83,117,234,0,198.0,245,223,"1,216",0.0,0.0,15170,0,0,0,0,3:02:51,0:00,50.0,0:00,No,00:41.89,11,0.0,9,garmin,0,00:00:00,00:00:00
2020-12-25 09:17:50,Running,2020-12-25 09:17:50,False,Waxahachie Running,10.05,"1,120",01:18:36,151,167,3.5,168,180,7:49,5:56,210,236,1.19,8.6,10.4,253,48.8% L / 51.2% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:18:36,0:00,51.8,0:00,No,00:23.100,11,0.0,9,garmin,0,0 days 00:07:49,0 days 00:07:49
2020-12-24 16:16:33,Mountain Biking,2020-12-24 16:16:33,False,Waxahachie Mountain Biking,16.07,933,01:13:51,143,167,0.0,0,0,13.1,25.5,157,157,0.0,0.0,0.0,0,0,61,113,233,0,79.1,231,211,"1,054",0.0,0.0,4534,0,0,0,0,1:13:51,0:00,44.6,0:00,No,05:36.16,6,0.0,9,garmin,0,00:00:00,00:00:00
2020-12-22 19:36:45,Indoor Cycling,2020-12-22 19:36:45,False,Pettit - TrainerRoad,28.94,944,01:25:00,131,152,0.0,0,0,20.4,21.7,0,0,0.0,0.0,0.0,0,0,89,95,188,0,59.0,208,186,256,0.0,0.0,0,0,0,0,0,1:25:00,0:00,0.0,0:00,No,01:00.00,10,0.0,9,garmin,0,00:00:00,00:00:00
2020-12-22 16:41:13,Road Cycling,2020-12-22 16:41:13,False,Wheat Ridge Road Cycling,0.59,34,00:03:15.3,107,150,0.0,0,0,10.9,31.6,36,46,0.0,0.0,0.0,0,0,53,114,239,0,3.2,0,176,"1,196",0.0,0.0,175,0,0,0,0,3:15.3,0:00,55.4,0:00,No,03:15.35,1,0.0,9,garmin,0,00:00:00,00:00:00
2020-12-21 11:09:46,Cycling,2020-12-21 11:09:46,False,Wheat Ridge Cycling,6.65,183,00:31:21,95,120,1.2,0,0,12.7,28.5,308,269,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,31:21,0:00,69.8,0:00,No,31:20.57,1,0.0,9,garmin,0,00:00:00,00:00:00
2020-12-20 11:18:20,Hiking,2020-12-20 11:18:20,False,Palmer Lake Hiking,5.23,450,02:19:36,85,129,1.1,84,256,26:43,8:47,"1,201","1,198",0.74,9.6,7.0,599,50.0% L / 50.0% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,2:19:36,0:00,55.4,0:00,No,02:19:35.75,1,0.0,9,garmin,0,0 days 00:26:43,0 days 00:26:43
2020-12-19 11:18:13,Resort Skiing/Snowboarding,2020-12-19 11:18:13,False,Winter Park Resort Skiing/Snowboarding,5.06,232,00:26:41,109,144,1.0,0,0,11.4,31.4,0,"4,603",0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,26:41,0:00,57.2,0:00,No,04:31.00,4,0.0,9,garmin,0,00:00:00,00:00:00
2020-12-19 09:25:02,Other,2020-12-19 09:25:02,False,Winter Park Ski-Tour,2.17,239,01:24:02,117,155,1.0,0,0,1.6,22.7,"1,493",479,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:24:02,0:00,64.4,0:00,No,00:29.83,4,0.0,9,garmin,0,00:00:00,00:00:00
2020-12-18 16:47:02,Treadmill Running,2020-12-18 16:47:02,False,Treadmill Running,7.22,856,00:56:12,153,170,3.7,168,178,7:47,7:09,46,95,1.23,8.2,10.4,258,48.5% L / 51.5% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,56:12,0:00,68.0,0:00,No,01:30.69,8,0.0,9,garmin,0,0 days 00:07:47,0 days 00:07:47
2020-12-17 15:32:42,Indoor Cycling,2020-12-17 15:32:42,False,Andrews +1 - TrainerRoad,33.71,"1,136",01:35:00,128,165,0.0,0,0,21.3,28.6,0,0,0.0,0.0,0.0,0,0,92,122,211,0,84.0,223,200,597,0.0,0.0,0,0,0,0,0,1:35:00,0:00,0.0,0:00,No,00:20.00,24,0.0,9,garmin,0,00:00:00,00:00:00
2020-12-16 16:13:17,Running,2020-12-16 16:13:17,False,Wheat Ridge Running,7.39,841,00:56:44,154,173,3.4,167,183,7:40,5:24,541,348,1.23,8.4,10.4,257,49.2% L / 50.8% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,56:44,0:00,41.0,0:00,No,02:49.18,8,0.0,9,garmin,0,0 days 00:07:40,0 days 00:07:40
2020-12-15 16:15:23,Indoor Cycling,2020-12-15 16:15:23,False,Antelope -1 - TrainerRoad,31.81,"1,093",01:30:00,139,165,0.0,0,0,21.2,24.2,0,0,0.0,0.0,0.0,0,0,92,104,226,0,91.0,221,203,316,0.0,0.0,0,0,0,0,0,1:30:00,0:00,0.0,0:00,No,03:00.00,14,0.0,9,garmin,0,00:00:00,00:00:00
2020-12-14 10:52:58,Running,2020-12-14 10:52:58,False,Wheat Ridge Running,11.37,"1,232",01:36:55,144,165,3.0,164,178,8:31,5:03,659,463,1.14,9.0,10.3,260,48.2% L / 51.8% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:36:55,0:00,41.0,0:00,No,02:30.77,12,0.0,9,garmin,0,0 days 00:08:31,0 days 00:08:31
2020-12-13 12:49:01,Hiking,2020-12-13 12:49:01,False,Jefferson County Hiking,3.77,556,01:52:50,95,140,1.1,72,160,29:58,2:55,899,925,0.75,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:52:50,0:00,57.2,0:00,No,01:52:49.99,1,0.0,9,garmin,0,0 days 00:29:58,0 days 00:29:58
2020-12-12 09:21:00,Indoor Cycling,2020-12-12 09:21:00,False,Baxter +2 - TrainerRoad,43.59,"1,359",02:00:00,126,145,0.0,0,0,21.8,23.0,0,0,0.0,0.0,0.0,0,0,94,101,193,0,89.0,203,189,267,0.0,0.0,0,0,0,0,0,2:00:00,0:00,0.0,0:00,No,01:00.00,53,0.0,9,garmin,0,00:00:00,00:00:00
2020-12-11 11:58:34,Indoor Cycling,2020-12-11 11:58:34,False,Table - TrainerRoad,23.42,894,01:00:00,159,173,0.0,0,0,23.4,25.5,0,0,0.0,0.0,0.0,0,0,94,101,259,0,80.0,273,249,364,0.0,0.0,0,0,0,0,0,1:00:00,0:00,0.0,0:00,No,01:00.00,22,0.0,9,garmin,0,00:00:00,00:00:00
2020-12-11 11:43:30,Multisport,2020-12-11 11:43:30,False,Multisport,31.80,934,02:00:22,0,173,4.7,0,0,3.4,0,95,92,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,2:00:22,0:00,0.0,0:00,No,00:00.00,5,0.0,9,garmin,0,00:00:00,00:00:00
2020-12-09 11:51:50,Road Cycling,2020-12-09 11:51:50,False,Wheat Ridge Road Cycling,35.33,"2,184",03:01:07,144,178,0.0,0,0,11.7,35.0,"3,268","3,215",0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,3:01:07,0:00,51.8,0:00,No,12:14.71,5,0.0,9,garmin,0,00:00:00,00:00:00
2020-12-08 11:48:44,Road Cycling,2020-12-08 11:48:44,False,Wheat Ridge Road Cycling,9.01,305,00:33:53,112,164,0.0,0,0,16.0,26.5,226,256,0.0,0.0,0.0,0,0,62,100,183,45% L / 55% R,22.3,110,150,490,0.0,0.0,2134,0,0,0,0,33:53,0:00,55.4,0:00,No,33:52.73,1,0.0,9,garmin,0,00:00:00,00:00:00
2020-12-07 16:25:21,Indoor Cycling,2020-12-07 16:25:21,False,Pettit +1 - TrainerRoad,19.21,647,01:00:00,129,162,0.0,0,0,19.2,23.6,0,0,0.0,0.0,0.0,0,0,89,109,193,0,44.0,197,180,655,0.0,0.0,0,0,0,0,0,1:00:00,0:00,0.0,0:00,No,00:20.00,13,0.0,9,garmin,0,00:00:00,00:00:00
2020-12-06 09:39:05,Other,2020-12-06 09:39:05,False,Boulder County Ski-Tour,2.38,583,02:48:10,90,144,1.2,0,0,0.9,16.1,869,883,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,2:48:10,0:00,69.8,0:00,No,01:00.00,8,0.0,9,garmin,0,00:00:00,00:00:00
2020-12-05 10:50:37,Indoor Cycling,2020-12-05 10:50:37,False,Cumberland - TrainerRoad,24.22,"1,000",01:15:00,140,154,0.0,0,0,20.2,22.1,0,0,0.0,0.0,0.0,0,0,94,103,229,0,78.0,239,222,288,0.0,0.0,0,0,0,0,0,1:15:00,0:00,0.0,0:00,No,03:00.00,20,0.0,9,garmin,0,00:00:00,00:00:00
2020-12-04 13:36:20,Road Cycling,2020-12-04 13:36:20,False,Wheat Ridge Road Cycling,21.67,"1,193",01:37:35,140,175,0.0,0,0,13.3,31.3,"1,506","1,463",0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:37:35,0:00,44.6,0:00,No,24:26.79,3,0.0,9,garmin,0,00:00:00,00:00:00
2020-12-03 15:37:24,Running,2020-12-03 15:37:24,False,Wheat Ridge Running,6.22,690,00:48:33,151,167,3.1,167,184,7:49,5:53,407,312,1.22,8.3,10.3,254,49.2% L / 50.8% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,48:33,0:00,48.2,0:00,No,01:40.22,7,0.0,9,garmin,0,0 days 00:07:49,0 days 00:07:49
2020-12-01 12:58:02,Treadmill Running,2020-12-01 12:58:02,False,Treadmill Running,3.80,454,00:30:11,146,160,3.0,173,181,7:57,7:37,92,23,1.17,8.0,9.6,258,48.7% L / 51.3% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,30:11,0:00,68.0,0:00,No,30:11.36,1,0.0,9,garmin,0,0 days 00:07:57,0 days 00:07:57
2020-12-01 11:40:09,Indoor Cycling,2020-12-01 11:40:09,False,Haku - TrainerRoad,25.27,874,01:15:00,129,167,0.0,0,0,20.2,26.7,0,0,0.0,0.0,0.0,0,0,94,120,226,0,76.0,213,195,782,0.0,0.0,0,0,0,0,0,1:15:00,0:00,0.0,0:00,No,00:20.00,21,0.0,9,garmin,0,00:00:00,00:00:00
2020-11-30 16:18:24,Indoor Cycling,2020-11-30 16:18:24,False,Pettit -1 - TrainerRoad,18.70,542,01:00:00,104,121,0.0,0,0,18.7,19.3,0,0,0.0,0.0,0.0,0,0,87,91,153,0,28.0,168,151,281,0.0,0.0,0,0,0,0,0,1:00:00,0:00,0.0,0:00,No,15:00.00,3,0.0,9,garmin,0,00:00:00,00:00:00
2020-11-30 12:29:53,Pool Swimming,2020-11-30 12:29:53,False,Pool Swimming,600,134,00:23:30,0,0,0.0,0,0,1:34,0:59,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,264,69,28,0,0,23:30,0:00,0.0,0:00,No,00:10.66,44,0.0,9,garmin,0,0 days 00:01:34,0 days 00:01:34
2020-11-29 15:44:10,Running,2020-11-29 15:44:10,False,Wheat Ridge Running,9.86,"1,033",01:23:03,143,165,2.6,168,240,8:25,6:47,472,371,1.12,8.6,9.8,263,49.8% L / 50.2% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:23:03,0:00,39.2,0:00,No,07:03.18,10,0.0,9,garmin,0,0 days 00:08:25,0 days 00:08:25
2020-11-27 15:56:51,Road Cycling,2020-11-27 15:56:51,False,Royal Oak Road Cycling,28.91,967,01:48:32,125,174,0.0,0,0,16.0,29.0,745,712,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:48:32,0:00,37.4,0:00,No,15:19.45,6,0.0,9,garmin,0,00:00:00,00:00:00
2020-11-26 10:27:45,Running,2020-11-26 10:27:45,False,Emmett Running,8.12,936,01:00:06,159,181,3.8,172,189,7:24,5:28,328,322,1.23,7.9,9.9,252,49.1% L / 50.9% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:00:06,0:00,48.2,0:00,No,00:54.76,9,0.0,9,garmin,0,0 days 00:07:24,0 days 00:07:24
2020-11-25 09:57:45,Indoor Cycling,2020-11-25 09:57:45,False,Pettit - TrainerRoad,22.30,647,01:00:00,118,134,0.0,0,0,22.3,23.2,0,0,0.0,0.0,0.0,0,0,93,97,183,0,40.0,198,181,234,0.0,0.0,0,0,0,0,0,1:00:00,0:00,0.0,0:00,No,01:00.00,10,0.0,9,garmin,0,00:00:00,00:00:00
2020-11-24 17:48:45,Indoor Cycling,2020-11-24 17:48:45,False,Fuji - TrainerRoad,22.10,722,01:00:00,124,155,0.0,0,0,22.1,26.8,0,0,0.0,0.0,0.0,0,0,93,111,244,0,71.0,217,200,834,0.0,0.0,0,0,0,0,0,1:00:00,0:00,0.0,0:00,No,00:20.00,30,0.0,9,garmin,0,00:00:00,00:00:00
2020-11-23 07:14:29,Indoor Cycling,2020-11-23 07:14:29,False,Pettit -1 - TrainerRoad,19.70,557,01:00:00,106,121,0.0,0,0,19.7,21.3,0,0,0.0,0.0,0.0,0,0,89,96,157,0,29.0,170,155,194,0.0,0.0,0,0,0,0,0,1:00:00,0:00,0.0,0:00,No,15:00.00,3,0.0,9,garmin,0,00:00:00,00:00:00
2020-11-22 12:55:34,Running,2020-11-22 12:55:34,False,Sioux Falls Running,12.86,"1,497",01:39:36,146,178,3.0,170,186,7:45,5:47,446,312,1.19,8.6,10.4,249,48.9% L / 51.1% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:39:36,0:00,48.2,0:00,No,06:44.89,13,0.0,9,garmin,0,0 days 00:07:45,0 days 00:07:45
