"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Zwift - Mat Hayman Paris Roubaix 1","Bike","","","","2017-12-21","","21857.150390625","173","645","643.303","","1.03138529459635","5.88600015640259","","81","","131","165","","","0.68576042018576","48.21","24","6","7","13","11","2","","","","","32","0","6","20","3","2","","","","","",""
"Lap Swimming","Swim","","","","2017-12-22","","2525","","","","","0.75447194841173","0.929462108314545","","24","","","","","","0.252434250250987","1.21","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2017-12-23","","4679.06005859375","","","","","0.456408053636551","2.84800004959106","","80","","51","65","","","0.742401404206719","27.32","27","0","0","0","0","0","","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2017-12-23","","75183.78125","","","","","2.70974278450012","7.70699977874756","","","","116","154","","","0.626162165129097","120.66","85","20","36","20","2","0","","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2017-12-24","","17528.44921875","","","","","0.983154952526093","4.9520001411438","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2017-12-26","","5485.8798828125","","","","","0.540486097335815","2.81900000572205","","81","","138","160","","","0.7413486699559","32.39","9","4","10","9","0","0","","","","","","","","","","","","","","","",""
"Running","Run","","","","2017-12-27","","4132.0498046875","","","","","0.553286969661713","2.07399988174438","","80","","143","166","","","0.567314311745008","19.44","7","4","8","10","3","0","","","","","","","","","","","","","","","",""
"Running","Run","","","","2017-12-28","","6292.7001953125","","","","","0.813107788562775","2.15000009536743","","80","","145","170","","","0.574828881540083","29.61","9","7","14","11","8","0","","","","","","","","","","","","","","","",""
"Running","Run","","","","2017-12-29","","4156.56982421875","","","","","0.526045858860016","2.1949999332428","","80","","125","152","","","0.577535976325279","19.14","19","4","7","1","0","0","","","","","","","","","","","","","","","",""
"Running","Run","","","","2017-12-31","","5878.8798828125","","","","","0.600056707859039","2.72099995613098","","81","","147","172","","","0.713163873778449","33.41","4","3","10","14","5","0","","","","","","","","","","","","","","","",""
"Bodywork - every day!","Other","Body work: 10 min foam rolling followed by 10 min of stretching Foam Roll 10 min - Light foam rolling, spending approximately 1-2 minutes on each of the following: -Calves -Soleus -IT bands -Hamstrings -Gluteals -Adductors -Lower back -Scapular muscles. Spend extra time on any particularly tight/painful areas. Be very careful not to roll on joints, or other areas with thin soft tissue cover. Stretching: Focus on targeting the flexibility of the glutes, hamstrings, quads, calves, and hipflexors. Ease into all stretching activities with muscles that are already warmed up. Hold all stretches for at least 30s.","0.333333333333333","","2018-01-01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TRX (custom routine)","Strength","All exercises for 2 sets of 10 reps. Take 30 seconds between exercises. - Single Leg Squat - Sprinters Start - TRX Suspended Lunge - Hamstring Curl - Atomic Push-up - Side Plank (work up to 30 seconds each side) - Plank (work up to 30 seconds) - TRX Back Extentions - Single Arm Rotating Row - Swimmers Pull - Standing Y 2 sets of 12 reps of: -Monster Walk -Eccentric Calf Raises","0.5","","2018-01-01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Happy New Year!","Other","","","","2018-01-01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Master's Swim","Swim","Swim with your master's group and summarize what you did in the notes","0.866666666666667","2743.19995117188","2018-01-02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic Z1 Ride #3 (2 X 10 min low cadence)","Bike","**Make sure you descend the pace by getting faster throughout the workout. Start at the lower end of zone 1 and work your way toward the top by the end of the workout. Keep cadence at 90-95+ throughout during base phase and 85-90 rpm during build phase unless using QT2 bike stimulation cadence chart (as given by coach). **Insert 2 X 10 minutes at Z1 and a cadence of 20-30rpm less than prior cadance. Do this during 2nd half of workout, with 5 min at ZR and normal cadance between each**","1.16666666666667","","2018-01-02","","26477.759765625","167","298","748.884"," *01/03/2018 Tara Strassburg: Happy New Year! Here we go! Talk to me about this one - it looks like Z1 was a struggle?* *01/03/2018 Raul J Luzardo: Happy New year for you too.The HR wasn't going up even putting more power, either I'm too powerful or the jet lag affected me. I go for the last one.*","1.24317613389757","5.91599988937378","","73","","107","132","","","0.635659825801562","47","62","12","1","0","0","0","","","","","41","4","13","14","6","0","","","","","",""
"Core Work","Strength","3 Rounds of: - Crab Crunch X 12 right X 12 left X 12 middle - Superman, back extension, or TRX back extension X 12 - Planks: 3 minutes continuous (rotating between left side, ride side, face down, etc - use TRX if you have one)","","","2018-01-02","","","","",""," *01/04/2018 Raul J Luzardo: Done*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic Run (Z1)","Run","Zone 1 Run. Make sure you descend the pace by getting faster throughout the workout. Start at the lower end of zone 1 and work your way toward the top by the end of the workout.","0.75","","2018-01-03","","8215.8603515625","","",""," *01/04/2018 Tara Strassburg: Solid run, especially after the jet lag earlier in the week!* *01/04/2018 Raul J Luzardo: Question, in the TP HR zones, what is the grey zone, I missed that on the seminar?* *01/04/2018 Tara Strassburg: It’s just the gap between ZR and Z1, they had to call it something in TP and “Grey zone” is what they came up with. It’s typically a 4-6 best window. The reason for it is because athletes tend to work the upper end of zones, so if we give them a ZR workout and the push the upper limit, they’re venturing into Z1. With the window, it gives a little more wiggle room to ensure that ZR truly is ZR!* *01/04/2018 Raul J Luzardo: Cool, thanks*","0.750804960727692","3.03999996185303","","83","","139","153","","","0.794645395964084","52.19","12","3","22","8","0","0","","","","","","","","","","","","","","","",""
"Body Weight","Other","Enter morning body weight as a metric; this is useful to track your overall body weight. To add as a metric click the + sign on the current day in your training peaks calendar and click ""Metrics"". Enter in your weight and save. If you are interested in working with one of our Registered Dietitians, check out our nutrition service here - http://www.qt2systems.com/athlete-nutrition-services/","","","2018-01-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eccentric Calf Raises","Strength","Do 3 sets of 12 reps on each leg. Each rep is carried out by standing on the ball of your foot (on a step), lowering slowly with one leg over a 2-3 second period (full range of motion), and then lifting back to the top with both feet quickly. These will help strengthen and stretch your calves.","","","2018-01-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Zwift - Watopia","Bike","","","","2018-01-04","","27679.029296875","183","342","772.102","","1.17138888888889","6.56300020217896","","80","","0","0","","","0.6767393083201","53.21","","","","","","","","","","","26","3","20","16","7","1","","","","","",""
"Aerobic Z1 Ride #2 (cadence ladder)","Bike","Warmup 15-30 minutes easy @ZR/Z1 Main Set/Body of Workout Ride aerobic zone 1. Include the following 20 minute protocol two times: 65 rpm, 3 min 100 rpm, 2 min 70 rpm, 3 min 105 rpm, 2 min 75 rpm, 3 min 110 rpm, 2 min 80 rpm, 3 min 2 minutes easy spinning Cool Down Ride any remaining time @ Z1 and 90rpm","1.16666666666667","","2018-01-04","","0","179","340","752.621"," *01/05/2018 Tara Strassburg: Is the HR data correct for this workout? I only ask because it’s showing you spent about 25mins in z2/z3!*","1.16728663444519","0","","80","","135","157","","","0.662518791406828","51.17","18","6","19","22","5","0","","","","","26","4","21","14","6","1","","","","","",""
"Master's Swim","Swim","Swim with your master's group and summarize what you did in the notes","0.866666666666667","2743.19995117188","2018-01-04","","1949.50079703676","","","","","0.499474447038439","1.08419560277365","","21","","","","","","0.252948163677282","0.81","","","","","","","","","","","","","","","","","","","","","",""
"Core Work","Strength","3 Rounds of: - Crab Crunch X 12 right X 12 left X 12 middle - Superman, back extension, or TRX back extension X 12 - Planks: 3 minutes continuous (rotating between left side, ride side, face down, etc - use TRX if you have one)","","","2018-01-04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic Run (Z1)","Run","Zone 1 Run. Make sure you descend the pace by getting faster throughout the workout. Start at the lower end of zone 1 and work your way toward the top by the end of the workout.","0.75","","2018-01-05","","8252.830078125","","",""," *01/09/2018 Tara Strassburg: Let’s keep a closer eye on HR and really try to stick in Z1, at this phase of the training cycle. It’s never a good sign to be a January hero!*","0.761348903179169","3.01099991798401","","82","","148","170","","","0.814751634396779","55.59","1","1","22","19","2","0","","","","","","","","","","","","","","","",""
"Master's Swim","Swim","Swim with your master's group and summarize what you did in the notes","0.866666666666667","2743.19995117188","2018-01-05","*if your pool isn't open or you don't have masters today, opt for some extra rest (which you may need to nurse a NYE hangover :)","2525","","","","","0.760068892372979","0.922815357986574","","22","","","","","","0.250575391972833","1.2","","","","","","","","","","","","","","","","","","","","","",""
"TRX (custom routine)","Strength","All exercises for 2 sets of 10 reps. Take 30 seconds between exercises. - Single Leg Squat - Sprinters Start - TRX Suspended Lunge - Hamstring Curl - Atomic Push-up - Side Plank (work up to 30 seconds each side) - Plank (work up to 30 seconds) - TRX Back Extentions - Single Arm Rotating Row - Swimmers Pull - Standing Y 2 sets of 12 reps of: -Monster Walk -Eccentric Calf Raises","0.5","","2018-01-05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Recovery Transition Run (ZR)","Run","Start your T run within 10 minutes after the bike ride. Run duration @ ZR with a cadence of at least 88 steps per minute.","0.416666666666667","","2018-01-06","","3925.22998046875","","","","","0.417527765035629","2.61100006103516","","79","","130","137","","","0.690058898146531","21.58","15","10","0","0","0","0","","","","","","","","","","","","","","","",""
"Aerobic Z1 Ride #5 (CAP Intervals)","Bike","Warmup 10-30 minutes @ZR/Z1 Main Set Ride 3 x 15 minutes at the top of your Z1, but not over. Allow 5 minute ZR recovery between the intervals. Cool Down Ride any remaining time in Z1","2.75","","2018-01-06","","68266.34375","","",""," *01/06/2018 Tara Strassburg: Better! Are you able to hit the lap button for the intervals? It’s hard to take away data when it all gets lumped together. I also don’t see cadence data?*","2.39205813407898","7.92700004577637","","","","128","164","","","0.662641227970598","118.91","33","24","56","24","5","1","","","","","","","","","","","","","","","",""
"Z1/Z2 Mountain Bike Aerobic + Tempo","Bike","Warmup 15 minutes easy. Ride 90% of this ride in Aerobic Zone 1. Include some tempo riding in Zone 2 on the uphills for up to 30 minutes total Z2 riding.Cool down 10 minutes easy.","1.5","","2018-01-07","","35177.3203125","","","","","1.99432146549225","4.90000009536743","","","","136","184","","","0.736491941427109","121.91","23","11","22","29","28","6","","","","","","","","","","","","","","","",""
"Aerobic Run (Z1)","Run","Zone 1 Run. Make sure you descend the pace by getting faster throughout the workout. Start at the lower end of zone 1 and work your way toward the top by the end of the workout.","0.833333333333333","","2018-01-07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eccentric Calf Raises","Strength","Do 3 sets of 12 reps on each leg. Each rep is carried out by standing on the ball of your foot (on a step), lowering slowly with one leg over a 2-3 second period (full range of motion), and then lifting back to the top with both feet quickly. These will help strengthen and stretch your calves.","","","2018-01-07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic Run (Z1)","Run","Zone 1 Run. Make sure you descend the pace by getting faster throughout the workout. Start at the lower end of zone 1 and work your way toward the top by the end of the workout.","1","","2018-01-08","","10738.1103515625","","","","","1.0005099773407","2.98099994659424","","82","","145","203","","","0.772093466237132","66.09","3","11","32","9","1","4","","","","","","","","","","","","","","","",""
"Master's Swim","Swim","Swim with your master's group and summarize what you did in the notes","0.866666666666667","2743.19995117188","2018-01-08","","2900","","","","","0.88853333791097","0.906458768785186","","22","","","","","","0.246180848918998","1.33","","","","","","","","","","","","","","","","","","","","","",""
"TRX (custom routine)","Strength","All exercises for 2 sets of 10 reps. Take 30 seconds between exercises. - Single Leg Squat - Sprinters Start - TRX Suspended Lunge - Hamstring Curl - Atomic Push-up - Side Plank (work up to 30 seconds each side) - Plank (work up to 30 seconds) - TRX Back Extentions - Single Arm Rotating Row - Swimmers Pull - Standing Y 2 sets of 12 reps of: -Monster Walk -Eccentric Calf Raises","0.5","","2018-01-08","","","","","","","0.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bodywork - every day!","Other","Body work: 10 min foam rolling followed by 10 min of stretching Foam Roll 10 min - Light foam rolling, spending approximately 1-2 minutes on each of the following: -Calves -Soleus -IT bands -Hamstrings -Gluteals -Adductors -Lower back -Scapular muscles. Spend extra time on any particularly tight/painful areas. Be very careful not to roll on joints, or other areas with thin soft tissue cover. Stretching: Focus on targeting the flexibility of the glutes, hamstrings, quads, calves, and hipflexors. Ease into all stretching activities with muscles that are already warmed up. Hold all stretches for at least 30s.","0.333333333333333","","2018-01-08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic Z1 Ride #3 (2 X 15 min low cadence)","Bike","**Make sure you descend the pace by getting faster throughout the workout. Start at the lower end of zone 1 and work your way toward the top by the end of the workout. Keep cadence at 90-95+ throughout during base phase and 85-90 rpm during build phase unless using QT2 bike stimulation cadence chart (as given by coach). **Insert 2 X 15 minutes at Z1 and a cadence of 20-30rpm less than prior cadance. Do this during 2nd half of workout, with 5 min at ZR and normal cadance between each**","1.33333333333333","","2018-01-09","","34373.25","162","279","778.495","","1.33194444444444","7.16800022125244","","71","","0","0","","","0.604781505664317","48.32","","","","","","","","","","","44","5","23","11","1","0","","","","","",""
"Master's Swim","Swim","Swim with your master's group and summarize what you did in the notes","0.866666666666667","2743.19995117188","2018-01-09","","2011.67999694225","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Core Work","Strength","3 Rounds of: - Crab Crunch X 12 right X 12 left X 12 middle - Superman, back extension, or TRX back extension X 12 - Planks: 3 minutes continuous (rotating between left side, ride side, face down, etc - use TRX if you have one)","","","2018-01-09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indoor Cycling","Bike","","","","2018-01-09","","0","159","285","841.028","","1.47060775756836","0","","71","","125","146","","","0.631386227762462","58.29","36","9","25","18","0","0","","","","","41","5","20","22","3","0","","","","","",""
"Aerobic Run (Z1)","Run","Zone 1 Run. Make sure you descend the pace by getting faster throughout the workout. Start at the lower end of zone 1 and work your way toward the top by the end of the workout.","0.833333333333333","","2018-01-10","","8624.73046875","","","","","0.834092736244202","2.87199997901917","","81","","141","177","","","0.739534745329354","50.34","3","13","29","3","1","0","","","","","","","","","","","","","","","",""
"TRX (custom routine)","Strength","All exercises for 2 sets of 10 reps. Take 30 seconds between exercises. - Single Leg Squat - Sprinters Start - TRX Suspended Lunge - Hamstring Curl - Atomic Push-up - Side Plank (work up to 30 seconds each side) - Plank (work up to 30 seconds) - TRX Back Extentions - Single Arm Rotating Row - Swimmers Pull - Standing Y 2 sets of 12 reps of: -Monster Walk -Eccentric Calf Raises","0.5","","2018-01-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Body Weight","Other","Enter morning body weight as a metric; this is useful to track your overall body weight. To add as a metric click the + sign on the current day in your training peaks calendar and click ""Metrics"". Enter in your weight and save. If you are interested in working with one of our Registered Dietitians, check out our nutrition service here - http://www.qt2systems.com/athlete-nutrition-services/","","","2018-01-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Master's Swim","Swim","Swim with your master's group and summarize what you did in the notes","0.866666666666667","2743.19995117188","2018-01-11","","1525","","","","","0.414700835545858","1.0211713940764","","22","","","","","","0.277373475063964","0.88","","","","","","","","","","","","","","","","","","","","","",""
"Core Work","Strength","3 Rounds of: - Crab Crunch X 12 right X 12 left X 12 middle - Superman, back extension, or TRX back extension X 12 - Planks: 3 minutes continuous (rotating between left side, ride side, face down, etc - use TRX if you have one)","","","2018-01-11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic Z1 Ride #4 (strength (3x10, 8x1))","Bike","Warmup 10-30 minutes @ZR/Z1 Main Set Ride at an aerobic Z1 effort. Include 3 X 10 minute climbs where each climb gets progressively steeper (target cadence of 75, 70 and 65 on the three climbs). Ride 5 minutes ZR recovery, between each. Then ride 8 X 1 minute steep climbs (55rpm) alternating seated and standing with 2 minutes ZR recovery, between each. Cool Down To final ride time @ZR/Z1","1.5","","2018-01-11","","0","162","355","881.065","","1.51245045661926","0","","70","","120","147","","","0.654945810484034","64.58","54","12","20","5","0","0","","","","","49","2","10","14","16","1","","","","","",""
"Aerobic Run (Z1)","Run","Zone 1 Run. Make sure you descend the pace by getting faster throughout the workout. Start at the lower end of zone 1 and work your way toward the top by the end of the workout.","0.833333333333333","","2018-01-12","","9299.240234375","","","","","0.85044664144516","3.03699994087219","","82","","138","159","","","0.779602412349435","57.07","10","10","23","8","0","0","","","","","","","","","","","","","","","",""
"Eccentric Calf Raises","Strength","Do 3 sets of 12 reps on each leg. Each rep is carried out by standing on the ball of your foot (on a step), lowering slowly with one leg over a 2-3 second period (full range of motion), and then lifting back to the top with both feet quickly. These will help strengthen and stretch your calves.","","","2018-01-12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic Z1 Ride #5 (CAP Intervals)","Bike","Warmup 10-30 minutes @ZR/Z1 Main Set Ride 3 x 15 minutes at the top of your Z1, but not over. Allow 5 minute ZR recovery between the intervals. Cool Down Ride any remaining time in Z1","3","","2018-01-13","","40156.390625","191","333","1287.629","","1.87069363064236","5.96199989318848","","74","","0","0","","","0.692815029783024","84.55","","","","","","","","","","","77","8","30","22","18","1","","","","","",""
"Recovery Transition Run (ZR)","Run","Start your T run within 10 minutes after the bike ride. Run duration @ ZR with a cadence of at least 88 steps per minute.","0.416666666666667","","2018-01-13","","3502.419921875","","","","","0.335603594779968","2.8989999294281","","80","","113","121","","","0.790823553818807","22.62","20","0","0","0","0","0","","","","","","","","","","","","","","","",""
"Indoor Cycling","Bike","","","","2018-01-13","","0","188","333","1203.291","","1.77346587181091","0","","77","","126","145","","","0.683688678477351","82.42","37","26","36","7","0","0","","","","","35","8","30","21","16","1","","","","","",""
"Eccentric Calf Raises","Strength","Do 3 sets of 12 reps on each leg. Each rep is carried out by standing on the ball of your foot (on a step), lowering slowly with one leg over a 2-3 second period (full range of motion), and then lifting back to the top with both feet quickly. These will help strengthen and stretch your calves.","","","2018-01-14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z1/Z2 Mountain Bike Aerobic + Tempo","Bike","Warmup 15 minutes easy. Ride 90% of this ride in Aerobic Zone 1. Include some tempo riding in Zone 2 on the uphills for up to 30 minutes total Z2 riding.Cool down 10 minutes easy.","1.5","","2018-01-14","","30860.880859375","","","","","2.03305578231812","4.21700000762939","","","","136","164","","","0.718041676574165","118.23","29","11","24","34","23","1","","","","","","","","","","","","","","","",""
"Bodywork - every day!","Other","Body work: 10 min foam rolling followed by 10 min of stretching Foam Roll 10 min - Light foam rolling, spending approximately 1-2 minutes on each of the following: -Calves -Soleus -IT bands -Hamstrings -Gluteals -Adductors -Lower back -Scapular muscles. Spend extra time on any particularly tight/painful areas. Be very careful not to roll on joints, or other areas with thin soft tissue cover. Stretching: Focus on targeting the flexibility of the glutes, hamstrings, quads, calves, and hipflexors. Ease into all stretching activities with muscles that are already warmed up. Hold all stretches for at least 30s.","0.333333333333333","","2018-01-15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Master's Swim","Swim","Swim with your master's group and summarize what you did in the notes","0.866666666666667","2743.19995117188","2018-01-15","","2377.44","","","","","0.359342501428392","1.83780097643585","","22","","","","","","0.257132810258647","0.61","","","","","","","","","","","","","","","","","","","","","",""
"TRX (custom routine)","Strength","All exercises for 2 sets of 10 reps. Take 30 seconds between exercises. - Single Leg Squat - Sprinters Start - TRX Suspended Lunge - Hamstring Curl - Atomic Push-up - Side Plank (work up to 30 seconds each side) - Plank (work up to 30 seconds) - TRX Back Extentions - Single Arm Rotating Row - Swimmers Pull - Standing Y 2 sets of 12 reps of: -Monster Walk -Eccentric Calf Raises","0.5","","2018-01-15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Recovery/Aerobic (ZR/Z1) Transition Run, as you feel","Run","Start your T run within 10 minutes after the bike ride. Start the run in ZR and descend pace (if you feel good) throughout the run into Z1. Finish toward the top of Z1.","0.416666666666667","","2018-01-16","","3970.27001953125","","","","","0.419631958007813","2.62800002098084","","78","","108","121","","","0.718407566831895","23.48","25","0","0","0","0","0","","","","","","","","","","","","","","","",""
"Indoor Cycling","Bike","","","","2018-01-16","","0","169","321","767.189","","1.26254272460938","0","","67","","115","144","","","0.681214757487411","58.36","41","7","25","2","0","0","","","","","36","2","7","16","16","0","","","","","",""
"Aerobic Z1 Ride #3 (2 X 20 min low cadence)","Bike","**Make sure you descend the pace by getting faster throughout the workout. Start at the lower end of zone 1 and work your way toward the top by the end of the workout. Keep cadence at 90-95+ throughout during base phase and 85-90 rpm during build phase unless using QT2 bike stimulation cadence chart (as given by coach). **Insert 2 X 20 minutes at Z1 and a cadence of 20-30rpm less than prior cadance. Do this during 2nd half of workout, with 5 min at ZR and normal cadance between each**","1.25","","2018-01-16","","28069.73046875","177","326","843.39","","1.32162448459201","5.89900016784668","","64","","109","144","","","0.701695489618915","60.87","39","7","25","2","0","0","","","","","1342","2","7","14","20","1","","","","","",""
"Master's Swim","Swim","Swim with your master's group and summarize what you did in the notes","0.866666666666667","2743.19995117188","2018-01-16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Core Work","Strength","3 Rounds of: - Crab Crunch X 12 right X 12 left X 12 middle - Superman, back extension, or TRX back extension X 12 - Planks: 3 minutes continuous (rotating between left side, ride side, face down, etc - use TRX if you have one)","","","2018-01-16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Body Weight","Other","Enter morning body weight as a metric; this is useful to track your overall body weight. To add as a metric click the + sign on the current day in your training peaks calendar and click ""Metrics"". Enter in your weight and save. If you are interested in working with one of our Registered Dietitians, check out our nutrition service here - http://www.qt2systems.com/athlete-nutrition-services/","","","2018-01-17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
